Time (day), Net assimilation rate (mol.m-1.day-1), Elapsed assimilation rate (mol.m-2), Canopy conductance (mol.m-2.day-1), Evapo/Transpiration (mol.m-2.day-1), Cumulative evapo/transpiration (mol.m-2), leaf area index (m2.m-2),Air temperature (oC), Daily mean temperature (oC), Daily highest temperature (oC), Daily lowest temperature (oC), Elapsed thermal time (days), Elapased thermal time (hours), Relative Humidity, Leaf biomass (g.m-2), Stem biomass (g.m-2), Standing dead (g.m-2), Surface litter dead (g.m-2), Seed (g.m-2), Pod (g.m-2), Structual root (g.m-2), Fine root (g.m-2), Storage (g.m-2), Root dead material (g.m-2)
148.0,1.8134685014026166,31.354292444534288,0.0,0.014515208371364252,0.36230436204356437,6.078163623842625,10.72209739854062,16.953254063542765,24.80745514715417,9.099052979931361,313.84761237386084,7532.342696972661,0.7,303.9081811921312,175.228755580317,0.0,0.0,0.0,0.0,81.51897612035422,43.751277040797156,3.3359794239668283,0.0
149.0,1.6796557626649626,33.03394820719925,0.0,0.01451540401264931,0.3768197660562137,6.3171918754468415,10.901667195324173,17.181007601736827,25.09594296219998,9.266072241273672,329.42842443963474,7906.282186551234,0.7,315.85959377234207,181.78366706366356,0.0,0.0,0.0,0.0,92.9900712162107,45.32383132766701,3.092832668162278,0.0
150.0,1.5531970455493027,34.587145252748556,0.0,0.016462557397746606,0.3932823234539603,6.538462078762631,11.079559282358009,17.406633252399658,25.381735453039568,9.431531051759748,346.0434110956474,8305.041866295538,0.7,326.92310393813153,187.85159663643506,0.0,0.0,0.0,0.0,103.60894796856083,46.77955634948141,2.8630578549314447,0.0
151.0,1.4341960108624379,36.02134126361099,0.0,0.01646278598150075,0.40974510943546105,6.743022046393458,11.25572094637751,17.630064157781568,25.664747933189986,9.59538038237315,362.8681320687715,8708.835169650516,0.7,337.1511023196729,193.46127863786026,0.0,0.0,0.0,0.0,113.42589147105491,48.12534561021054,2.646840891152961,0.0
152.0,1.322609969465556,37.343951233076545,0.0,0.01646301174692675,0.4262081211823878,6.931913447687224,11.430099986879746,17.851234110483254,25.944896539945454,9.757571681021053,379.9004650054965,9117.611160131917,0.7,346.5956723843612,198.64127893964923,0.0,0.0,0.0,0.0,122.4908919991856,49.36805219766953,2.444102288057759,0.0
153.0,1.218289863026339,38.56224109610289,0.0,0.016463234644409748,0.44267135582679756,7.106156903610084,11.602644731591607,18.070077573074492,26.222098259227693,9.918056886921294,397.13822603240646,9531.317424777755,0.7,355.3078451805042,203.41958620024,0.0,0.0,0.0,0.0,130.85292970521945,50.51439072347782,2.254569696573093,0.0
154.0,1.1210104269238599,39.68325152302675,0.0,0.016463454625347585,0.45913481045214516,7.266741310795793,11.773304051781425,18.286529697514297,26.496270950184776,10.076788444843817,415.4247557299208,9970.194137518098,0.7,363.33706553978965,207.82331909642886,0.0,0.0,0.0,0.0,138.55946227354997,51.57086708654169,2.0778326294408225,0.0
155.0,1.0304931867570297,40.713744709783775,0.0,0.01646367164214579,0.47559848209429095,7.41461638985622,11.942027377409483,18.50052634436676,26.76733336953123,10.233719319202292,433.9252820742875,10414.2067697829,0.7,370.730819492811,211.8785219744508,0.0,0.0,0.0,0.0,145.65606731008833,52.54372944878134,1.913384180554741,0.0
156.0,0.9464241105342912,41.66016882031806,0.0,0.016463885648212228,0.49206236774250317,7.550687708530322,12.108764712113059,18.71200410180701,27.035205195622215,10.388803007991807,452.6372861760945,10863.294868226269,0.7,377.5343854265161,215.61002836896623,0.0,0.0,0.0,0.0,152.18620350049036,53.43893549268991,1.760653047372912,0.0
157.0,0.8684672014080146,42.52863602172608,0.0,0.01646409659795149,0.5085264643404547,7.675813610418647,12.273466648021392,18.920900304411447,27.2998070522545,10.541993556568393,471.5581864805059,11317.396475532143,0.7,383.79068052093237,219.04137677923677,0.0,0.0,0.0,0.0,158.19106321846382,54.26213221563942,1.6190281876565118,0.0
158.0,0.7962749600187649,43.32491098174484,0.0,0.016464304446759098,0.5249907687872137,7.7908036103326515,12.436084380396318,19.127153051726893,27.561060532187398,10.693245571266388,490.68533953223283,11776.448148773588,0.7,389.5401805166326,222.19476666452272,0.0,0.0,0.0,0.0,163.70949551771423,55.01864537296839,1.4878777962819434,0.0
159.0,0.7294964041832919,44.05440738592814,0.0,0.016464509151015383,0.5414552779382291,7.89641791373131,12.596569722094147,19.330701226613012,27.818888220376483,10.842514232849542,510.01604075884586,12240.3849782123,0.7,394.8208956865655,225.09104526551343,0.0,0.0,0.0,0.0,168.77798306944797,55.71347631638062,1.3665638500232042,0.0
160.0,0.6677831658715685,44.722190551799706,0.0,0.0164647106680793,0.5579199886063084,7.993367790632782,12.754875117844584,19.531484513352662,28.073213716913372,10.989755309791953,529.5475252721985,12709.140606532765,0.7,399.6683895316391,227.74971785816894,0.0,0.0,0.0,0.0,173.4306601065951,56.35130445389031,1.254453163769426,0.0
161.0,0.6107940658246762,45.33298461762438,0.0,0.016464908956281884,0.5743848975625903,8.08231659053369,12.91095365834235,19.72944341552472,28.323961659664647,11.134925171384793,549.2769686877233,13182.64724850536,0.7,404.11582952668454,230.1889755860202,0.0,0.0,0.0,0.0,177.6993611303348,56.9364939269226,1.1509256846461673,0.0
162.0,0.5581984788324328,45.891183096456814,0.0,0.018654215162179296,0.5930391127247695,8.163881228766371,13.064759094147455,19.924519273634175,28.571057746603287,11.277980800665063,569.2014879613574,13660.835711072577,0.7,408.19406143831856,232.425736220791,0.0,0.0,0.0,0.0,181.61369224118374,57.47310338897971,1.0553805920422104,0.0
163.0,0.5096787374420524,46.400861833898865,0.0,0.018654445534428937,0.6116935582591985,8.23863400947197,13.216245849389868,20.11665428249418,28.814428757825965,11.4188798071624,589.3181422438516,14143.63541385244,0.7,411.9317004735984,234.4756941540923,0.0,0.0,0.0,0.0,185.20111862446103,57.96489799888496,0.9672406531469735,0.0
164.0,0.4649317720970316,46.8657936059959,0.0,0.018654671883665645,0.6303482301428641,8.290887940819795,13.365369035274668,20.305791508355007,29.054002577249676,11.557580439460338,609.6239337522067,14630.97441005296,0.7,414.5443970409898,236.35337668440891,0.0,0.0,1.7319228065122616,0.0,186.13995988961932,58.05499098396742,0.0,0.0
