Time (hour), Direct sunlight (micro mol.m-2.s-1),Diffuse sunlight (micro mol.m-2.s-1),Light at sunlit leaves(micro mol.m-2.s-1),Light at shaded leaves(micro mol.m-2.s-1), Light scattered by leaves(micro mol.m-2.s-1),Solar zenith angle (degree),LAI at sunlit leaves (m2.m-2),LAI at shaded leaves (m2.m-2), Air temperature (oC)
8.199999999999989,882.7502864656977,178.55615671747935,797.592640486016,91.39241131345776,30.684834439666172,61.518818314932794,0.5922010427436354,2.4077989572563645,24.517067227184345
8.299999999999988,917.7754761193679,179.3808640892272,826.6638354383732,92.44345454287884,31.455484166621915,60.595267330437885,0.6090955591345694,2.3909044408654307,24.771385104832692
8.399999999999988,952.5583633135092,180.15724748684733,855.4931589422041,93.44646829139674,32.194534153480596,59.671902332853655,0.625744027189453,2.374255972810547,25.025179493833704
8.499999999999988,987.0670091916614,180.88883763951762,884.0567522677607,94.40314491443141,32.90247633772684,58.749126572178206,0.6421330229639474,2.3578669770360525,25.278276456190483
8.599999999999987,1021.2704038162112,181.5788253653514,912.331449179668,95.31512612669896,33.57986758301663,57.82735553797207,0.6582499765475933,2.3417500234524065,25.530502531887493
8.699999999999987,1055.1384049622911,182.23010060539517,940.2947312178661,96.18400724803311,34.22732065377109,56.907018227059154,0.6740831769050789,2.325916823094921,25.781684857771435
8.799999999999986,1088.641687210471,182.84528621718513,967.9246902703096,97.0113405019328,34.84549602420177,55.98855849401546,0.689621766988885,2.310378233011115,26.03165128602298
8.899999999999986,1121.751699733801,183.42676732436897,995.1999973314722,97.79863754443144,35.43509442855783,55.07243648924497,0.7048557305719074,2.295144269428093,26.28023050213831
8.999999999999986,1154.4406314441762,183.97671688427383,1022.0998765252666,98.5473713699256,35.99685007419869,54.15913018931827,0.7197758721729393,2.2802241278270605,26.527252142339503
9.099999999999985,1186.681382382564,184.49711802556578,1048.6040836212535,99.25897771520225,36.53152445100686,53.249137023978996,0.7343737913470949,2.265626208652905,26.77254691033337
9.199999999999985,1218.4475404174416,184.9897836183362,1074.6928883959397,99.93485606198625,37.03990068027215,52.342975603763925,0.7486418524980144,2.2513581475019855,27.015946693338687
9.299999999999985,1249.7133624635278,185.45637346514363,1100.34706029185,100.57637032102775,37.52277835397085,51.44118755148616,0.7625731512470765,2.2374268487529236,27.257284677302263
9.399999999999984,1280.4537595548516,185.8984094406558,1125.5478569102745,101.18484926639324,37.98096882170717,50.544339439835575,0.7761614782728085,2.2238385217271914,27.49639546122499
9.499999999999984,1310.6442852071873,186.3172888571164,1150.2770149424186,101.76158677666868,38.415290887771036,49.65302483598625,0.7894012814153828,2.210598718584617,27.733115170519422
9.599999999999984,1340.2611265888802,186.71429629096045,1174.5167432009043,102.30784192980018,38.82656688503008,48.76786645228075,0.8022876267293674,2.1977123732706327,27.96728156932122
9.699999999999983,1369.2810980891559,187.0906140709553,1198.2497174612681,102.82483898994329,39.21561909590004,47.88951839968623,0.814816159064492,2.185183840935508,28.198734171677515
9.799999999999983,1397.6816369317037,187.4473315989968,1221.4590768630442,103.31376731768125,39.583266493571436,47.018668537672035,0.826983062660047,2.173016937339953,28.427314351535973
9.899999999999983,1425.4408005306188,187.7854536501315,1244.1284216535794,103.77578122908416,39.9303217791317,46.156040910311326,0.838785022153993,2.161214977846007,28.65286545145915
9.999999999999982,1452.5372653273787,188.105907777697,1266.2418120860336,104.21199982413061,40.25758869230203,45.30239825361226,0.8502191843328762,2.149780815667124,28.87523288998969
10.099999999999982,1478.9503268826859,188.40955093198747,1287.7837683069931,104.62350680084442,40.565859575283966,44.45854455317699,0.8612831208828348,2.1387168791171653,29.09426426759272
10.199999999999982,1504.6599010268574,188.69717538604334,1308.73927108948,105.01135026799429,40.85591317074094,43.62532762409974,0.8719747923448021,2.128025207655198,29.309809471102902
10.299999999999981,1529.6465258978415,188.96951404957485,1329.093763284531,105.37654256625764,41.128512636273214,42.80364167637464,0.8822925134278127,2.117707486572187,29.52172077660446
10.39999999999998,1553.8913647176344,189.22724524129305,1348.8331518793818,105.72006010527436,41.38440375891963,41.99442981882973,0.8922349197923575,2.1077650802076424,29.729852950673823
10.49999999999998,1577.3762091764656,189.47099698075255,1367.9438105631184,106.04284322194569,41.62431335426639,41.19868644259756,0.9018009363803232,2.098199063619677,29.934063349915313
