Time (day), Net assimilation rate (mol.m-1.day-1), Elapsed assimilation rate (mol.m-2), Canopy conductance (mol.m-2.day-1), Evapo/Transpiration (mol.m-2.day-1), Cumulative evapo/transpiration (mol.m-2), leaf area index (m2.m-2),Air temperature (oC), Daily mean temperature (oC), Daily highest temperature (oC), Daily lowest temperature (oC), Elapsed thermal time (days), Elapased thermal time (hours), Relative Humidity, Leaf biomass (g.m-2), Stem biomass (g.m-2), Standing dead (g.m-2), Surface litter dead (g.m-2), Seed (g.m-2), Pod (g.m-2), Structual root (g.m-2), Fine root (g.m-2), Storage (g.m-2), Root dead material (g.m-2)
130.0,0.06436271471051103,0.27590083800903803,1.978504613047653,0.006196926407401277,0.026096122092317355,0.1169224332734709,7.2656931685533,12.569397162722163,19.254569739448073,5.884224585996253,84.66584259325319,2031.9802222380765,0.7,5.846121663673546,2.9756100514945425,0.0,0.0,0.0,0.0,2.590569383666652,0.5661733218682765,0.0,0.0
131.0,0.07725426106706085,0.3531550990760989,2.3384996504198297,0.007316832978416686,0.03341295507073404,0.13729610853716165,7.465959449956586,12.823400647648663,19.57630748702164,6.070493808275686,95.08163949287531,2281.9593478290076,0.7,6.864805426858083,3.5063852012739707,0.0,0.0,0.0,0.0,3.0151895034901948,0.6680416981867302,0.0,0.0
132.0,0.0918418520062107,0.4449969510823096,2.745981178067091,0.008581662058387785,0.04199461712912182,0.16035643645169997,7.66556609596375,13.076567498029288,19.896985497503763,6.256149498554811,105.68487797329058,2536.437071358974,0.7,8.017821822584999,4.107153047250943,0.0,0.0,0.0,0.0,3.4958037802717725,0.7833433377594219,0.0,0.0
133.0,0.10832028560013951,0.553317236682449,3.2071965828712234,0.010009708995223724,0.052004326124345544,0.18645165373083575,7.864453958817716,13.328822695062483,20.216508747079146,6.441136643045821,116.47488305772254,2795.397193385341,0.7,9.322582686541788,4.786985855057801,0.0,0.0,0.0,0.0,4.039670026517259,0.9138194241551006,0.0,0.0
134.0,0.12686123881872885,0.6801784755011779,3.729110661235833,0.011621144419474988,0.06362547054382053,0.21596159882881416,8.062564103752369,13.580091490089252,20.53478255411305,6.625400426065452,127.45092442641918,3058.82218623406,0.7,10.798079941440708,5.555779179121256,0.0,0.0,0.0,0.0,4.6547046857680225,1.0613691496449928,0.0,0.0
135.0,0.1476224967890238,0.8278009722902018,4.319320239289425,0.013437658224503513,0.07706312876832405,0.2492951455892474,8.259837826456193,13.830299426742805,20.851712607207553,6.808886246278057,138.6122166330625,3326.6931991935,0.7,12.46475727946237,6.424185004062409,0.0,0.0,0.0,0.0,5.349429345720945,1.2280368834471591,0.0,0.0
136.0,0.1707407717282099,0.9985417440184117,4.986002842346582,0.015482195884795569,0.09254532465311963,0.2868863131825422,8.456216670467644,14.079372363011583,21.167204993148005,6.991539732875161,149.95791933751318,3598.990064100316,0.7,14.34431565912711,7.403510400755719,0.0,0.0,0.0,0.0,6.132889663075593,1.415992721413633,0.0,0.0
137.0,0.1963197497921257,1.1948614938105373,5.73783888983868,0.017778599911566974,0.11032392456468659,0.32918817261804745,8.651642444497032,14.327236493209135,21.48116622473157,7.173306761686699,161.48713755482146,3875.691301315715,0.7,16.459408630902374,8.505558778735079,0.0,0.0,0.0,0.0,7.014528365459082,1.6275020185911593,0.0,0.0
138.0,0.22441653525860777,1.4192780290691451,6.58388982136546,0.020351105765097223,0.1306750303297838,0.3766642546565556,8.846057239669882,14.573818369844336,21.793503268469493,7.35413347121918,174.04715130992764,4177.131631438264,0.7,18.833212732827782,9.742406045062062,0.0,0.0,0.0,0.0,8.004006178520669,1.8648824287837,0.0,0.0
139.0,0.25502713548791556,1.6743051645570608,7.533426250609565,0.02639722905002767,0.15707225937981148,0.4350885854355532,9.039403446686567,14.819044925385466,22.104123572154926,7.533966278616008,186.8058458641524,4483.340300739657,0.7,21.75442927177766,11.40284727720711,0.0,0.0,0.0,0.0,8.004006178520669,2.661577848497303,0.0,0.0
140.0,0.29809184003757283,1.9723970045946335,8.701930234090451,0.030385719376036308,0.1874579787558478,0.5022206815822844,9.2316237728932,15.0628434939117,22.41293509228815,7.712751895535247,199.76206427264273,4794.289542543425,0.7,25.11103407911422,13.310766443008307,0.0,0.0,0.0,0.0,8.004006178520669,3.5770155232254557,0.0,0.0
141.0,0.3455486735465516,2.317945678141185,10.044591055795173,0.0349347307489255,0.2223927095047733,0.5789473726803697,9.422661259258664,15.305141832645575,22.71984632135106,7.890437343940088,212.91459105996472,5109.950185439153,0.7,28.94736863401848,15.491367569399216,0.0,0.0,0.0,0.0,8.004006178520669,4.62328858365389,0.0,0.0
142.0,0.3971375500525668,2.715083228193752,11.579145211155817,0.04009003474361811,0.2624827442483914,0.6661023269798448,9.612459297252824,15.545868143360096,23.024766314922786,8.066969971797404,226.2621525802751,5430.2916619266025,0.7,33.30511634899224,17.96834381842094,0.0,0.0,0.0,0.0,8.004006178520669,5.811765233192188,0.0,0.0
